Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the file attachments accepts more than one file,EL-128,10218,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:47 PM,21/Feb/22 1:56 PM,21/Feb/22 1:47 PM,,0,Verify the file attachments accepts more than one file,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzpo,,,,,EL Sprint 1,,,,,,,,Done
Verify the file attachments type,EL-127,10217,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:49 PM,21/Feb/22 1:56 PM,21/Feb/22 1:49 PM,,0,Verify the file attachments type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zze,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with video button,EL-126,10216,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:47 PM,21/Feb/22 1:56 PM,21/Feb/22 1:47 PM,,0,Verify the message box with video button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzc,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with audio button,EL-125,10215,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify the message box with audio button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzl,,,,,EL Sprint 1,,,,,,,,Done
Verify that the message box is resizable or not,EL-124,10214,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify that the message box is resizable or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zza,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with special characters and numeric characters,EL-123,10213,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:46 PM,21/Feb/22 1:37 PM,21/Feb/22 1:46 PM,,0,Verify the subject field with special characters and numeric characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzv,,,,,EL Sprint 1,,,,,,,,Done
Verify that no of words typed is shown in the message box,EL-122,10212,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:48 PM,21/Feb/22 1:56 PM,21/Feb/22 1:48 PM,,0,Verify that image can be added in text box,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zz1r,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with paste from word button,EL-121,10211,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:47 PM,21/Feb/22 1:56 PM,21/Feb/22 1:47 PM,,0,Verify the message box with copy button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zz1i,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with new page button,EL-120,10210,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:35 PM,21/Feb/22 1:46 PM,21/Feb/22 1:56 PM,21/Feb/22 1:46 PM,,0,Verify the message box with format field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zz1,,,,,EL Sprint 1,,,,,,,,Done
Verify the message box with font field,EL-119,10209,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:34 PM,21/Feb/22 1:48 PM,21/Feb/22 1:36 PM,21/Feb/22 1:48 PM,,0,Verify the message box with format field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zxi,,,,,EL Sprint 1,,,,,,,,Done
