Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
username is not editable,EL-107,10197,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 4:31 PM,21/Feb/22 11:06 AM,21/Feb/22 11:04 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-41,EL-40,EL-42,EL-37,EL-39,EL-38,,,,,,,,,,{},,,,0|hzzzzo:zz,,,,,EL Sprint 1,,,,,,,,To Do
image name should not contain special characters,EL-106,10196,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 4:29 PM,21/Feb/22 12:39 PM,21/Feb/22 1:53 PM,,,0,"Description: 

# navigate to Elearning application
# Go to Edit profile
# click on choose file in the add image field 
# verify if the image name contains special characters

Expected Result: 

Image name should not contain special characters

Actual Result:

Image name accepts special characters",,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-32,,,,,,,,,,,,,,,{},,,,0|hzzzzo:yi,,,,,EL Sprint 1,,,,,,,,To Do
Last name field is not editable,EL-105,10195,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 4:26 PM,21/Feb/22 11:06 AM,21/Feb/22 11:06 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-22,EL-20,,,,,,,,,,,,,,{},,,,0|hzzzzo:zy,,,,,EL Sprint 1,,,,,,,,To Do
"Verify the remove checkbox with tick sign
",EL-104,10194,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 3:02 PM,18/Feb/22 3:04 PM,18/Feb/22 3:07 PM,18/Feb/22 3:02 PM,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zv,,,,,EL Sprint 1,,,,,,,,Done
"Verify that the user can remove the image 
",EL-103,10193,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 2:59 PM,18/Feb/22 3:07 PM,18/Feb/22 3:05 PM,18/Feb/22 3:07 PM,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zx,,,,,EL Sprint 1,,,,,,,,Done
Skype field is accepting more than 100 characters,EL-102,10192,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 2:46 PM,21/Feb/22 1:55 PM,21/Feb/22 1:55 PM,,,0,"Description: 

# navigate to Elearning application
# Go to Edit profile
# click on skype field 

Expected Result: 

Skype field should accept less than 100 characters

Actual Result:

Skype field accepts more than 100 characters",,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-96,EL-5,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zi,,,,,EL Sprint 1,,,,,,,,To Do
linkedin url profile field is accepting is more than 100 characters,EL-101,10191,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 2:46 PM,21/Feb/22 9:53 AM,21/Feb/22 11:16 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-93,EL-5,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zr,,,,,EL Sprint 1,,,,,,,,To Do
First name field is not editable,EL-100,10190,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 2:31 PM,21/Feb/22 1:54 PM,21/Feb/22 1:53 PM,,,0,"Description: 

# navigate to Elearning application
# Go to Edit profile
# click on first name field type

Expected Result: 

First name should be editable

Actual Result:

First name is not editable",,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-17,EL-18,EL-19,EL-5,,,,,,,,,,,,,{},,,,0|hzzzzo:z,,,,,EL Sprint 1,,,,,,,,To Do
Verify the skype field with special characters,EL-99,10189,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:17 PM,21/Feb/22 11:19 AM,21/Feb/22 1:56 PM,,,0,Verify the skype field with special characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:vf,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the skype field contains string of numbers and letters,EL-98,10188,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:17 PM,21/Feb/22 11:19 AM,21/Feb/22 1:56 PM,,,0,Verify that the skype field contains string of numbers and letters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:vr,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify the skype field with ""live:"" format",EL-97,10187,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:17 PM,21/Feb/22 11:19 AM,21/Feb/22 1:56 PM,,,0,"Verify the skype field with ""live:"" format",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:y,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the skype field with more than 100 characters,EL-96,10186,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:48 PM,18/Feb/22 2:48 PM,,,0,Verify the skype field with more than 100 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:vi,,,,,EL Sprint 1,,,,,,,,In Progress
Verify that the linkedin profile url contains alphanumeric and is a combination of user name and numbers,EL-95,10185,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 3:34 PM,21/Feb/22 1:56 PM,,,0,Verify that the linkedin profile url contains alphanumeric and is a combination of user name and numbers,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:vd,,,,,EL Sprint 1,,,,,,,,In Progress
"Verify the linkedin profile with ""https://www.linked.com/in/"" format",EL-94,10184,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,21/Feb/22 11:20 AM,21/Feb/22 1:56 PM,,,0,"Verify the linkedin profile with ""https://www.linked.com/in/"" format",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:sx,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the linkedin profile url field with more than 100 characters,EL-93,10183,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:47 PM,21/Feb/22 1:56 PM,,,0,Verify the linkedin profile url field with more than 100 characters,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:v9,,,,,EL Sprint 1,,,,,,,,In Progress
Verify the alignment of the Save button,EL-92,10182,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:22 PM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify the alignment of the Save button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:sr,,,,,EL Sprint 1,,,,,,,,Done
Verify the size of the Save button,EL-91,10181,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify the size of the Save button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:ve,,,,,EL Sprint 1,,,,,,,,Done
Verify the placeholder of the Save button,EL-90,10180,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:52 AM,,0,Verify the placeholder of the Save button,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:sv,,,,,EL Sprint 1,,,,,,,,Done
Verify the Save button  name label,EL-89,10179,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify the Save button  name label,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:st,,,,,EL Sprint 1,,,,,,,,Done
Verify the confirmation message when the profile setting has been changed,EL-88,10178,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:52 AM,,0,Verify the confirmation message when the profile setting has been changed,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:s9,,,,,EL Sprint 1,,,,,,,,Done
Verify that the Save button  is placed at the correct position,EL-87,10177,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the Save button  is placed at the correct position,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:w,,,,,EL Sprint 1,,,,,,,,Done
Verify that no invalid values are provided,EL-86,10176,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 4:42 PM,21/Feb/22 1:56 PM,18/Feb/22 4:42 PM,,0,Verify that no invalid values are provided,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:s,,,,,EL Sprint 1,,,,,,,,Done
Verify that all mandatory fields are filled,EL-85,10175,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that all mandatory fields are filled,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:t,,,,,EL Sprint 1,,,,,,,,Done
Verify the Save button  type,EL-84,10174,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify the Save button  type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:pi,,,,,EL Sprint 1,,,,,,,,Done
Verify that the value from list should be selected if user adds an valid data,EL-83,10173,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify that the value from list should be selected if user adds an valid data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:q,,,,,EL Sprint 1,,,,,,,,Done
Verify that a error message should be shown if user adds an invalid data,EL-82,10172,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that a error message should be shown if user adds an invalid data,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:p,,,,,EL Sprint 1,,,,,,,,Done
Verify that the text is added on the search field or not from typing,EL-81,10171,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the text is added on the search field or not from typing,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:x,,,,,EL Sprint 1,,,,,,,,Done
Verify that the search field should be clickable or not by clicking on search field,EL-80,10170,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the search field shuld be clickable or not by clicking on search field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:m,,,,,EL Sprint 1,,,,,,,,Done
Verify that on mouse hover pointer changes from pointer to hand or not,EL-79,10169,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that on mouse hover pointer changes from pointer to hand or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:si,,,,,EL Sprint 1,,,,,,,,Done
Verify that the order of the values of dropdown is same as the requirement or not,EL-78,10168,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify that the order of the values of dropdown is same as the requirement or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:o,,,,,EL Sprint 1,,,,,,,,Done
Verify that the dropdown should not be editable,EL-77,10167,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the dropdown should not be editable,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:v,,,,,EL Sprint 1,,,,,,,,Done
Verify that the default selected value is shown on dropdown list or not,EL-76,10166,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify that the default selected value is shown on dropdown list or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:fi,,,,,EL Sprint 1,,,,,,,,Done
Verify that the dropdown list should be scrolled down by pressing the down arrow key,EL-75,10165,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the dropdown list should be scrolled down by pressing the down arrow key,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:s4,,,,,EL Sprint 1,,,,,,,,Done
Verify that the scroll down functionality working in the drop down list or not,EL-74,10164,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify that the scroll down functionality working in the drop down list or not,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:g,,,,,EL Sprint 1,,,,,,,,Done
Verify that the dropdown displays all the values or not as user clicks on it,EL-73,10163,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:29 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify that the dropdown displays all the values or not as user clicks on it,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:d,,,,,EL Sprint 1,,,,,,,,Done
Verify tha all values are added in the language field or not as per SRS,EL-72,10162,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:16 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:41 AM,,0,Verify tha all values are added in the language field or not as per SRS,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:ei,,,,,EL Sprint 1,,,,,,,,Done
Verify the language field type,EL-71,10161,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:51 AM,,0,Verify the language field type,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:f,,,,,EL Sprint 1,,,,,,,,Done
Verify that the user re type new password in confirm password field,EL-70,10160,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:49 AM,,0,Verify that the user re type new password in confirm password field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:e,,,,,EL Sprint 1,,,,,,,,Done
Verify that the user enters valid password in new password field,EL-69,10159,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 2:28 PM,21/Feb/22 1:56 PM,18/Feb/22 10:50 AM,,0,Verify that the user enters valid password in new password field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:8,,,,,EL Sprint 1,,,,,,,,Done
Verify the new and confirm password cannot contain user full name,EL-68,10158,Test,Blocked,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 3:15 PM,18/Feb/22 4:40 PM,21/Feb/22 1:56 PM,,,0,Verify the new and confirm password cannot contain user full name,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,EL-5,,,,,,,,{},,,,0|hzzzzo:6i,,,,,EL Sprint 1,,,,,,,,In Progress
